Q30,United States of America,North America
Q1033,Nigeria,Africa
Q16,Canada,North America
Q34,Sweden,Europe
Q258,South Africa,Africa
Q62633,Grand Duchy of Finland,Europe
Q145,United Kingdom,Europe
Q17,Japan,Asia
Q183,Germany,Europe
Q155,Brazil,South America
Q414,Argentina,South America
Q142,France,Europe
Q29,Spain,Europe
Q148,People's Republic of China,Asia
Q213,Czech Republic,Europe
Q664,New Zealand,Oceania
Q928,Philippines,Asia
Q174193,United Kingdom of Great Britain and Ireland,Europe
Q40,Austria,Europe
Q27,Republic of Ireland,Europe
Q35,Denmark,Europe
Q408,Australia,Oceania
Q38,Italy,Europe
Q218272,French Algeria,Africa
Q953,Zambia,Africa
Q5785,Cayman Islands,North America
Q20,Norway,Europe
Q33946,Czechoslovakia,Europe
Q31,Belgium,Europe
Q29999,Kingdom of the Netherlands,Europe
Q794,Iran,Asia
Q57695350,Ireland,Europe
Q1028,Morocco,Africa
Q28,Hungary,Europe
Q33,Finland,Europe
Q754,Trinidad and Tobago,North America
Q179876,Kingdom of England,Europe
Q1007,Guinea-Bissau,Africa
Q114,Kenya,Africa
Q39,Switzerland,Europe
Q1020,Malawi,Africa
Q800,Costa Rica,North America
Q739,Colombia,South America
Q1206012,German Reich,Europe
Q912,Mali,Africa
Q403,Serbia,Europe
Q419,Peru,South America
Q41,Greece,Europe
Q865,Taiwan,Asia
Q2003,Newfoundland and Labrador,North America
Q83958,Macedonia,Europe
Q36,Poland,Europe
Q219,Bulgaria,Europe
Q717,Venezuela,South America
Q668,India,Asia
Q424,Cambodia,Asia
Q159,Russia,Eurasia
Q224,Croatia,Europe
Q790,Haiti,North America
Q15180,Soviet Union,Eurasia
Q25,Wales,Europe
Q34266,Russian Empire,Eurasia
Q96,Mexico,North America
Q37,Lithuania,Europe
Q212,Ukraine,Europe
Q174306,Republic of Genoa,Europe
Q1016,Libya,Africa
Q843,Pakistan,Asia
Q28513,Austria-Hungary,Europe
Q1747689,Ancient Rome,Europe
Q70972,Kingdom of France,Europe
Q334,Singapore,Asia
Q756617,Kingdom of Denmark,Europe
Q218,Romania,Europe
Q45,Portugal,Europe
Q252,Indonesia,Asia
Q713750,West Germany,Europe
Q161885,Great Britain,Europe
Q12560,Ottoman Empire,Eurasia
Q77,Uruguay,South America
Q298,Chile,South America
Q1030,Namibia,Africa
Q16957,German Democratic Republic,Europe
Q733,Paraguay,South America
Q801,Israel,Asia
Q533534,Cisleithania,Europe
Q22,Scotland,Europe
Q241,Cuba,North America
Q172579,Kingdom of Italy,Europe
Q836,Myanmar,Asia
Q1041,Senegal,Africa
Q822,Lebanon,Asia
Q43287,German Empire,Europe
Q189,Iceland,Europe
Q1005,The Gambia,Africa
Q232,Kazakhstan,Eurasia
Q1009,Cameroon,Africa
Q32,Luxembourg,Europe
Q27001811,Bouaflé,Africa
Q871091,British Malaya,Asia
Q43,Turkey,Eurasia
Q31747,Irish Free State,Europe
Q227,Azerbaijan,Eurasia
Q244,Barbados,North America
Q1044,Sierra Leone,Africa
Q766,Jamaica,North America
Q4250299,Autonomous Turkish Cypriot Administration,Eurasia
Q810,Jordan,Asia
Q702,Federated States of Micronesia,Oceania
Q16641,American Samoa,Oceania
Q974,Democratic Republic of the Congo,Africa
Q36704,Yugoslavia,Europe
Q117,Ghana,Africa
Q1036,Uganda,Africa
Q778,The Bahamas,North America
Q219060,State of Palestine,Asia
Q221,North Macedonia,Europe
Q25395037,Kingdom of Hungary,Europe
Q203493,Kingdom of Romania,Europe
Q214,Slovakia,Europe
Q211,Latvia,Europe
Q230,Georgia,Eurasia
Q115,Ethiopia,Africa
Q7318,Nazi Germany,Europe
Q750,Bolivia,South America
Q207272,Second Polish Republic,Europe
Q29520,China,Asia
Q184,Belarus,Europe
Q41304,Weimar Republic,Europe
Q732094,Durango,Europe
Q869,Thailand,Asia
Q18097,Korea,Asia
Q4628,Faroe Islands,Europe
Q35672,Pitcairn Islands,Oceania
Q15102440,"Kingdom of Serbs, Croats and Slovenes",Europe
Q131964,Austrian Empire,Europe
Q884,South Korea,Asia
Q83286,Socialist Federal Republic of Yugoslavia,Europe
Q13426199,Republic of China,Asia
Q730,Suriname,South America
Q503585,Korea under Japanese rule,Asia
Q1006,Guinea,Africa
Q736,Ecuador,South America
Q191,Estonia,Europe
Q18221,Turks and Caicos Islands,North America
Q804,Panama,Americas
Q262,Algeria,Africa
Q8646,Hong Kong,Asia
Q1028848,French Cameroons,Africa
Q2002279,Portuguese Guinea,Africa
Q851,Saudi Arabia,Asia
Q55,Netherlands,Europe
Q792,El Salvador,North America
Q833,Malaysia,Asia
Q215,Slovenia,Europe
Q819,Laos,Asia
Q786,Dominican Republic,North America
Q771,Massachusetts,North America
Q1027,Mauritius,Africa
Q613,Emirate of Dubai,Asia
Q902,Bangladesh,Asia
Q225,Bosnia and Herzegovina,Europe
Q21,England,Europe
Q881,Vietnam,Asia
Q79,Egypt,Africa
Q242,Belize,North America
Q838261,Federal Republic of Yugoslavia,Europe
Q774,Guatemala,North America
Q967,Burundi,Africa
Q236,Montenegro,Europe
Q4948,Republic of Venice,Europe
Q1775277,Dominion of India,Asia
Q854,Sri Lanka,Asia
Q1246,Kosovo,Europe
Q1062546,Later Jin,Asia
Q2895,Byelorussian Soviet Socialist Republic,Eurasia
Q191077,Kingdom of Yugoslavia,Europe
Q171150,Kingdom of Hungary,Europe
Q133356,Ukrainian Soviet Socialist Republic,Eurasia
Q222,Albania,Europe
Q796,Iraq,Asia
Q916,Angola,Africa
Q878,United Arab Emirates,Asia
Q945,Togo,Africa
Q8733,Qing dynasty,Asia
Q858,Syria,Asia
Q924,Tanzania,Africa
Q398,Bahrain,Asia
Q963,Botswana,Africa
Q9903,Ming dynasty,Asia
Q188712,Empire of Japan,Asia
Q817,Kuwait,Asia
Q399,Armenia,Asia
Q1072949,Western Han,Asia
Q1192067,Min,Asia
Q129286,British Raj,Asia
Q28179,Joseon,Asia
Q2305208,Russian Socialist Federative Soviet Republic,Eurasia
Q954,Zimbabwe,Africa
Q1183,Puerto Rico,North America
Q837,Nepal,Asia
Q90400112,Captaincy General of Catalonia,Europe
Q948,Tunisia,Africa
Q2010024,Second Czechoslovak Republic,Europe
Q12544,Byzantine Empire,Eurasia
Q217,Moldova,Europe
Q783,Honduras,North America
Q156418,Kingdom of Hawaii,Oceania
Q193714,Mandatory Palestine,Asia
Q27306,Kingdom of Prussia,Europe
Q1037,Rwanda,Africa
Q132856,Armenian Soviet Socialist Republic,Eurasia
Q1008,Ivory Coast,Africa
Q2017684,French protectorate of Tunisia,Africa
Q8680,British Empire,Europe
Q3399982,Kingdom of Spain,Europe
Q863,Tajikistan,Asia
Q811,Nicaragua,North America
Q65,Los Angeles,North America
Q1014,Liberia,Africa
Q971,Republic of the Congo,Africa
Q221457,Congress Poland,Europe
Q962,Benin,Africa
Q3087763,Republic of Egypt (1953–1958),Africa
Q965,Burkina Faso,Africa
Q154849,Grand Duchy of Tuscany,Europe
Q1469840,Malesia,Asia
Q9676,Isle of Man,Europe
Q16410,People's Republic of Hungary,Europe
Q14773,Macau,Asia
Q6581823,Southern Netherlands,Europe
Q42585,Kingdom of Bohemia,Europe
Q691,Papua New Guinea,Oceania
Q889,Afghanistan,Asia
Q173065,Kingdom of Naples,Europe
Q172107,Polish–Lithuanian Commonwealth,Europe
Q170174,Papal States,Europe
Q2978,Regensburg,Europe
Q2184,Russian Soviet Federative Socialist Republic,Eurasia
Q153136,Habsburg Monarchy,Europe
Q39193,Bohemia,Europe
Q154195,Kingdom of Bavaria,Europe
Q12548,Holy Roman Empire,Europe
Q152750,Protectorate of Bohemia and Moravia,Europe
Q256961,Electorate of Bavaria,Europe
Q842794,Socialist Republic of Romania,Europe
Q2670751,Margraviate of Moravia,Europe
Q209857,Kingdom of Lombardy–Venetia,Europe
Q622783,Spanish Netherlands,Europe
Q2172530,Electorate of Württemberg,Europe
Q22880,Electoral Palatinate,Europe
Q700283,Austrian Netherlands,Europe
Q766501,Duchy of Mantua,Europe
Q164079,Kingdom of Hanover,Europe
Q228,Andorra,Europe
Q699964,Archduchy of Austria,Europe
Q243610,Ukrainian People's Republic,Eurasia
Q153015,Kingdom of Saxony,Europe
Q170072,Dutch Republic,Europe
Q45670,Kingdom of Portugal,Europe
Q265,Uzbekistan,Asia
Q23681,Turkish Republic of Northern Cyprus,Eurasia
Q153529,Duchy of Milan,Europe
Q711,Mongolia,Asia
Q234,Flanders,Europe
Q58296,French First Republic,Eurasia
Q391980,Free Territory of Trieste,Europe
Q1011,Cape Verde,Africa
Q1054923,British Hong Kong,Eurasia
Q235,Monaco,Europe
Q238,San Marino,Europe
Q986,Eritrea,Africa
Q229,Cyprus,Eurasia
Q193619,Union of South Africa,Africa
Q983,Equatorial Guinea,Africa
Q37024,Serbia and Montenegro,Europe
Q1000,Gabon,Africa
Q233,Malta,Europe
Q26,Northern Ireland,Europe
Q137816,Taiwan under Japanese rule,Asia
Q423,North Korea,Asia
Q30609,Independent Macedonia,Europe
Q1045,Somalia,Africa
Q1274468,Republic of Bosnia and Herzegovina,Europe
Q686,Vanuatu,Oceania
Q842,Oman,Asia
Q1489,Mexico City,North America
Q42763,Santiago de los Caballeros,North America
Q683,Samoa,Oceania
Q23792,Palestine,Asia
Q1019,Madagascar,Africa
Q693570,Duchy of Ferrara,Europe
Q347,Liechtenstein,Europe
Q574,East Timor,Asia
Q970,Comoros,Africa
Q1029,Mozambique,Africa
Q12536,Abbasid Caliphate,Asia
Q874,Turkmenistan,Asia
Q1025,Mauritania,Africa
Q217196,Crown of Castile,Europe
Q813,Kyrgyzstan,Asia
Q6250,Western Sahara,Africa
Q223,Greenland,North America
Q921,Brunei,Asia
Q805,Yemen,Asia
Q958,South Sudan,Africa
Q1794352,Electorate of Trier,Europe
Q33296,Mughal Empire,Asia
Q5971,Altai Republic,Eurasia
Q28233,Korean Empire,Asia
Q9683,Tang dynasty,Asia
Q760,Saint Lucia,North America
Q211274,Polish People's Republic,Europe
Q1049,Sudan,Africa
Q10841085,Annam,Asia
Q4899891,Beylik of Tunis,Africa
Q1032,Niger,Africa
Q1042,Seychelles,Africa
Q826,Maldives,Asia
Q484578,Uzbek Soviet Socialist Republic,Eurasia
Q13353,Montserrat,North America
Q977,Djibouti,Africa
Q712,Fiji,Oceania
Q913582,Roman Europe,
Q657,Chad,Africa
Q34754,Somaliland,Africa
Q2073,Komi Republic,Eurasia
Q148540,Republic of Florence,Europe
Q704300,Free City of Frankfurt,Europe
Q630163,Schwarzburg-Sondershausen,Europe
Q1031430,Habsburg Netherlands,Europe
Q56036,West Berlin,Europe
Q769,Grenada,North America
Q784,Dominica,North America
Q230791,Kingdom of Scotland,Europe
Q203817,First Bulgarian Empire,Europe
Q139319,Russian Republic,Eurasia
Q282475,Kingdom of Kartli-Kakheti,?
Q757,Saint Vincent and the Grenadines,North America
Q244165,Republic of Artsakh,Asia
Q186096,Tsardom of Russia,Eurasia
Q734,Guyana,South America
Q63158027,Qajar Iran,Asia
Q207353,Acadia,North America
Q217169,Rhodesia,Africa
Q204920,Crown of Aragon,Europe
Q1039,São Tomé and Príncipe,Africa
Q18234383,Safavid Empire,Asia
Q23635,Bermuda,North America
Q41470,Kurdistan,Asia
Q205047,Kurdistan Region,Asia
Q221921,Comodoro Rivadavia,South America
Q1013,Lesotho,Africa
Q1078602,Kingdom of Nepal,Asia
Q457167,West Ukrainian People's Republic,Europe
Q35178,Kuwait City,Asia
Q11196,Republika Srpska,Europe
Q241748,Kingdom of Serbia,Europe
Q376178,Straits Settlements,Asia
Q157070,County of Flanders,Europe
Q180393,Kingdom of the Two Sicilies,Europe
Q158835,Prince-Bishopric of Liège,Europe
Q132754,Erbil,Asia
Q541455,Anglo-Egyptian Sudan,Africa
Q1533,Caracas,South America
Q17252,Tibet,Asia
Q13160,Jalisco,North America
Q3616,Tehran,Asia
Q639421,Pondicherry,Asia
Q5848651,United States of Venezuela,South America
Q1879239,Transleithania,Europe
Q15282,Nuevo León,North America
Q200663,Faridabad,Asia
Q24639,Vancouver,North America
Q11972,Canton Aargau,Europe
Q499470,Ilam,Asia
Q121157,Mashhad,Asia
Q1502,Mizoram,Asia
Q7462,Song dynasty,Asia
Q186320,Grand Duchy of Baden,Europe
Q23366230,Republic of Geneva,Europe
Q159631,Kingdom of Württemberg,Europe
Q71092,Second French Empire,Europe
Q185682,French Indochina,Asia
Q2577303,Kingdom of Sardinia,Europe
Q5148518,Colony of New Zealand,Oceania
Q426025,Duchy of Savoy,Europe
Q149805,Kingdom of Iraq,Asia
Q2480177,Norway,North America
Q62651,Denmark-Norway,Europe
Q2843,Lübeck,Europe
Q156199,Electorate of Saxony,Europe
Q146246,Francia,Europe
Q56850459,Colony of Victoria,Australia
Q1134180,Lower Canada,North America
Q678,Tonga,Oceania
Q245160,Democratic Republic of Georgia,Eurasia
Q131337,Azerbaijan Soviet Socialist Republic,Eurasia
Q170895,Moldavian Soviet Socialist Republic,Eurasia
Q16746854,Luhansk People's Republic,Eurasia
Q857810,Mouhous,Europe
Q580188,Mutawakkilite Kingdom of Yemen,Asia
Q96204511,Bahrain and its Dependencies,Asia
Q1296908,Kathiri Sultanate,Asia
Q171348,Crown of the Kingdom of Poland,Europe
Q16150196,Donetsk People's Republic,Europe
Q25305,British Virgin Islands,North America
Q484195,Timurid Empire,Asia
Q3708094,Seljuk Empire,Asia
Q1152445,Aerican Empire,North America
Q178038,Second Spanish Republic,Europe
Q842931,East Pakistan,Asia
Q1439,Texas,North America
Q152115,Duchy of Warsaw,Europe
Q11768,Ancient Egypt,Africa
Q668294,Kamerun,Africa
Q31354462,Republic of Abkhazia,Eurasia
Q127861,Khedivate of Egypt,Africa
Q121932,People's Republic of Bulgaria,Europe
Q695,Palau,Oceania
Q685,Solomon Islands,Oceania
Q217230,Empire of Brazil,South America
Q210551,Viceroyalty of the Río de la Plata,South America
Q211435,Viceroyalty of Peru,South America
Q709,Marshall Islands,Oceania
Q7313,Yuan dynasty,Asia
Q153943,Kingdom of Westphalia,Europe
Q7209,Han dynasty,Asia
Q953432,Couto Misto,Europe
Q3279296,Sweden-Finland,Europe
Q1050,Eswatini,Africa
Q929,Central African Republic,Africa
Q188586,Kingdom of Sicily,Europe
Q4689103,Transitional Islamic State of Afghanistan,Asia
Q846,Qatar,Asia
Q1121819,Emirate of Transjordan,Asia
Q218023,Orange Free State,Africa
Q205708,Taifa of Granada,Europe
Q28208,Goryeo,Asia
Q28456,Silla,Asia
Q2385925,presidencies and provinces of British India,Asia
Q1081620,Siam,Asia
Q15864,United Kingdom of the Netherlands,Europe
Q8575586,Umayyad Caliphate,Asia
Q2670092,Dominion of Ceylon,Asia
Q2444884,Tibet,Asia
Q958291,United Principalities of Moldavia and Wallachia,Europe
Q10957559,Principality of Moldavia,Europe
Q80702,Spanish Empire,Europe
Q165154,Kingdom of Sardinia,Europe
Q23334,Abkhazia,Eurasia
Q704288,Duchy of Holstein,Europe
Q1070529,Colony of Virginia,North America
Q907112,Transnistria,Europe
Q476033,Low Countries,Europe
Q26167,Duchy of Schleswig,Europe
Q326029,Duchy of Brunswick,Europe
Q2396442,Kingdom of Galicia and Lodomeria,Europe
Q20135,Grand Duchy of Hesse,Europe
Q1290149,Federal People's Republic of Yugoslavia,?
Q212278,Kingdom of Holland,Europe
Q15581,Principality of Catalonia,Europe
Q2227570,Duchy of Württemberg,Europe
Q736727,Republic of Siena,Europe
Q38872,Prussia,Europe
Q684030,Principality of Serbia,Europe
Q1097943,Uganda Protectorate,Africa
Q618399,Republic of the Congo (Léopoldville),Africa
Q391189,Taiwan under Qing Dynasty rule,Oceania
Q62589,Union between Sweden and Norway,Europe
Q710,Kiribati,Oceania
Q168811,Kazakh Soviet Socialist Republic,Asia
Q763,Saint Kitts and Nevis,North America
Q2409204,Thasos,Europe
Q11703,United States Virgin Islands,North America
